dimension,value,n_gt,recall_50,recall_75,mean_best_raw_iou,median_best_raw_iou,good_candidate_rate,high_quality_candidate_rate,final_tp_rate,final_miss_rate,mean_best_candidate_score,confidence_survival,nms_survival
coco_size,all,2612,0.9153905053598775,0.663093415007657,0.8331967561147753,0.8767627775669098,0.9628637059724349,0.7947932618683001,0.9153905053598775,0.08460949464012246,0.18302945952242572,0.6814701378254211,0.9884249689954526
coco_size,small,548,0.8029197080291971,0.38503649635036497,0.693776222720851,0.7335666716098785,0.8540145985401459,0.46715328467153283,0.8029197080291971,0.1970802919708029,0.24971096446728033,0.5164233576642335,0.9713024282560706
coco_size,medium,980,0.9357142857142857,0.6704081632653062,0.8427772144577941,0.872137188911438,0.986734693877551,0.8316326530612245,0.9357142857142857,0.06428571428571428,0.15324688325553398,0.6530612244897959,0.9892125134843581
coco_size,large,1084,0.9538745387453874,0.7970479704797048,0.8950174232030707,0.9214837551116943,0.996309963099631,0.9271217712177122,0.9538745387453874,0.04612546125461259,0.1762448285554272,0.790590405904059,0.9951876804619827
area_quartile,Q1,653,0.8192955589586524,0.4165390505359878,0.7109546672558529,0.7571098804473877,0.8698315467075038,0.5145482388973966,0.8192955589586524,0.18070444104134764,0.24909492620786833,0.5405819295558959,0.9727272727272728
area_quartile,Q2,653,0.9402756508422665,0.6722817764165391,0.8452259002290495,0.8720497488975525,0.9892802450229708,0.8407350689127105,0.9402756508422665,0.0597243491577335,0.14247663364864582,0.6401225114854517,0.9903225806451613
area_quartile,Q3,653,0.9418070444104135,0.7473200612557427,0.8748891342653797,0.9027999043464661,0.9954058192955589,0.891271056661562,0.9418070444104135,0.05819295558958648,0.15704943291617052,0.7350689127105666,0.9903381642512077
area_quartile,Q4,653,0.9601837672281777,0.8162327718223583,0.9017173227088192,0.9273092150688171,0.996937212863706,0.9326186830015314,0.9601837672281777,0.039816232771822335,0.1834968453170183,0.8101071975497703,0.9984076433121019
