class,AP50,AP75,AP50_minus_AP75,Recall50,Recall75
MC,0.7591152085266715,0.4692525352750765,0.289862673251595,0.9156327543424317,0.6203473945409429
P,0.5177491241301271,0.24356987279040726,0.2741792513397198,0.8,0.48695652173913045
TC,0.5624004579061979,0.2907481507597932,0.27165230714640465,0.9114832535885168,0.6363636363636364
AC,0.7506703599613609,0.48337112777271524,0.26729923218864565,0.9459459459459459,0.7027027027027027
TP,0.6364211080884095,0.3703272304544294,0.26609387763398007,0.899135446685879,0.6368876080691642
overall,0.662674771977008,0.4022365534568944,0.26043821852011356,0.9153905053598775,0.663093415007657
LC,0.6502559413961423,0.4093429388201004,0.24091300257604187,0.9200680272108843,0.70578231292517
LP,0.7621112038301479,0.5490440183257388,0.21306718550440906,0.9364161849710982,0.7090558766859345
