dimension,value,n_gt,recall_50,recall_75,mean_best_raw_iou,median_best_raw_iou,good_candidate_rate,high_quality_candidate_rate,final_tp_rate,final_miss_rate,mean_best_candidate_score,confidence_survival,nms_survival,class
aspect_bucket,all,2612,0.9153905053598775,0.663093415007657,0.8331967561147753,0.8767627775669098,0.9628637059724349,0.7947932618683001,0.9153905053598775,0.08460949464012246,0.18302945952242572,0.6814701378254211,0.9884249689954526,
aspect_bucket,"[1,2)",821,0.9196102314250914,0.6967113276492083,0.8549567221433614,0.8943414092063904,0.9695493300852619,0.8440925700365408,0.9196102314250914,0.08038976857490865,0.14445588473690207,0.6967113276492083,0.996042216358839,
aspect_bucket,"[2,4)",865,0.930635838150289,0.7063583815028902,0.8539243457462057,0.8956792950630188,0.976878612716763,0.8404624277456647,0.930635838150289,0.06936416184971095,0.20766707584261473,0.7179190751445087,0.9913793103448276,
aspect_bucket,"[4,8)",440,0.8727272727272727,0.5363636363636364,0.7780224450948563,0.8197607696056366,0.9340909090909091,0.6568181818181819,0.8727272727272727,0.12727272727272732,0.1915085476137847,0.6,0.9770992366412213,
aspect_bucket,"[8,16)",324,0.9135802469135802,0.6728395061728395,0.818401737805502,0.8589222729206085,0.9506172839506173,0.7901234567901234,0.9135802469135802,0.0864197530864198,0.21451495733972592,0.6790123456790124,0.9801324503311258,
aspect_bucket,"[16,inf)",162,0.9320987654320988,0.5864197530864198,0.7916904946352229,0.8300317823886871,0.9567901234567902,0.6851851851851852,0.9320987654320988,0.0679012345679012,0.160963204762847,0.6358024691358025,0.9805194805194806,
aspect_bucket,"[1,2)",323,0.9195046439628483,0.7213622291021672,0.8688258525941394,0.9003049731254578,0.9814241486068112,0.8947368421052632,0.9195046439628483,0.08049535603715174,0.08869624093894775,0.6377708978328174,0.9966442953020134,LC
aspect_bucket,"[2,4)",190,0.9105263157894737,0.6842105263157895,0.8644960596373207,0.9118534326553345,0.9789473684210527,0.8473684210526315,0.9105263157894737,0.08947368421052626,0.11724151527626082,0.6263157894736842,0.9885714285714285,LC
aspect_bucket,"[4,8)",57,0.9473684210526315,0.6842105263157895,0.8544302917363351,0.884602963924408,0.9649122807017544,0.9122807017543859,0.9473684210526315,0.052631578947368474,0.12259440489926196,0.6842105263157895,1.0,LC
aspect_bucket,"[8,16)",11,0.9090909090909091,0.7272727272727273,0.840176753022454,0.8921061754226685,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.09090909090909094,0.26010197773575783,0.9090909090909091,1.0,LC
aspect_bucket,"[16,inf)",7,1.0,0.7142857142857143,0.8570399965558734,0.8874214887619019,1.0,0.8571428571428571,1.0,0.0,0.24785089027136564,1.0,1.0,LC
aspect_bucket,"[1,2)",16,0.9375,0.625,0.8350847698748112,0.8588735163211823,1.0,0.75,0.9375,0.0625,0.060889377213698026,0.5,1.0,TC
aspect_bucket,"[2,4)",74,0.8783783783783784,0.7162162162162162,0.8671074392827781,0.9060526192188263,0.972972972972973,0.8648648648648649,0.8783783783783784,0.1216216216216216,0.14542993455157754,0.6351351351351351,0.9558823529411765,TC
aspect_bucket,"[4,8)",92,0.8695652173913043,0.5760869565217391,0.7962886237579844,0.8509983420372009,0.9347826086956522,0.717391304347826,0.8695652173913043,0.13043478260869568,0.10081531173625041,0.4891304347826087,0.9876543209876543,TC
aspect_bucket,"[8,16)",150,0.92,0.66,0.8218713517983754,0.8508992493152618,0.9666666666666667,0.7933333333333333,0.92,0.07999999999999996,0.1851535004703328,0.6466666666666666,0.9787234042553191,TC
aspect_bucket,"[16,inf)",86,0.9651162790697675,0.5930232558139535,0.7927943766117096,0.8238905966281891,0.9883720930232558,0.6627906976744186,0.9651162790697675,0.03488372093023251,0.1449786552756302,0.6511627906976745,0.9764705882352941,TC
aspect_bucket,"[1,2)",102,0.9607843137254902,0.7254901960784313,0.8843642178119397,0.908172070980072,0.9901960784313726,0.9313725490196079,0.9607843137254902,0.039215686274509776,0.059982647593749466,0.7352941176470589,1.0,AC
aspect_bucket,"[2,4)",103,0.9514563106796117,0.7378640776699029,0.8948525595433504,0.9193190932273865,1.0,0.912621359223301,0.9514563106796117,0.04854368932038833,0.1570206801426112,0.8155339805825242,0.98989898989899,AC
aspect_bucket,"[4,8)",15,0.8,0.3333333333333333,0.7977290232976277,0.7873600125312805,1.0,0.7333333333333333,0.8,0.19999999999999996,0.038007816573372114,0.4666666666666667,0.8571428571428571,AC
