class,AP50_95,AP50,AP75,Recall50,Recall75,AR100
LC,0.39797591658278175,0.6502559413961423,0.4093429388201004,0.9200680272108843,0.70578231292517,0.6386054421768707
TC,0.30988611927052284,0.5624004579061979,0.2907481507597932,0.9114832535885168,0.6363636363636364,0.5822966507177034
AC,0.4677614818053334,0.7506703599613609,0.48337112777271524,0.9459459459459459,0.7027027027027027,0.6495495495495496
P,0.267567500872894,0.5177491241301271,0.24356987279040726,0.8,0.48695652173913045,0.471304347826087
MC,0.4435989505753796,0.7591152085266715,0.4692525352750765,0.9156327543424317,0.6203473945409429,0.5694789081885856
LP,0.5005381651283173,0.7621112038301479,0.5490440183257388,0.9364161849710982,0.7090558766859345,0.6527938342967244
TP,0.3695578212137845,0.6364211080884095,0.3703272304544294,0.899135446685879,0.6368876080691642,0.5806916426512968
