iou_bin,n,mean_peak,mean_margin,mean_entropy,mean_variance,mean_pred_score,mean_target_score
"[0.0,0.5)",2710,0.614211674595451,0.35495855163824075,0.3347870341058807,0.004330724218282058,0.06810323404198693,0.08040962154501033
"[0.5,0.6)",1902,0.6147950738981821,0.3458390876407942,0.3272964907447748,0.00381416454749034,0.19059306421888886,0.26697312796048756
"[0.6,0.7)",2970,0.621551726091189,0.35049287311306304,0.31941984306381205,0.003464653565248895,0.22760013915372435,0.367473845805417
"[0.7,0.8)",4572,0.6467614914775416,0.375193499525714,0.2926158780461847,0.0024584546087839136,0.2951382091644907,0.48226976212142003
"[0.8,0.9)",6627,0.6772404579945742,0.4070638040735839,0.2616102715994377,0.0016626859803897177,0.42231883845779555,0.6211021973520516
"[0.9,1.0]",5037,0.7139132351529298,0.4570312001253372,0.2292217132793501,0.0011332079312746635,0.5741510179435794,0.7513965467746923
