feature,pooled_spearman,partial_pearson,within_gt_pairwise_accuracy,levels_spearman_ge_010
dfl_peak_mean,0.3635233796903006,0.3189313879738296,0.49283739633073637,3
dfl_margin_mean,0.2668820736547248,0.19966949136991363,0.49859261120884646,3
dfl_neg_entropy_mean,0.4408349131097237,0.426862644481776,0.4867052023121387,3
dfl_neg_variance_mean,0.4625838465594741,0.30461043015793504,0.49072631314400605,3
