side,mean_normalized_error,median_normalized_error,entropy_error_spearman,variance_error_spearman,peak_neg_error_spearman,margin_neg_error_spearman
left,0.05924725604558435,0.021892748773097992,0.40497814604721233,0.39358985227530024,0.3316609255487037,0.2546531166637045
top,0.08098506617646588,0.0341340359300375,0.0663881128273468,0.07842156992887299,0.040285043769284774,0.017374850270389562
right,0.0613977844584677,0.023275453597307205,0.3577144734926333,0.34630456844691004,0.27605976138246496,0.18883330566609774
bottom,0.06962023688887883,0.021314678713679314,0.09224630092084729,0.09225273517634056,0.04519482397743185,0.015370157425779109
