seed,checkpoint,scope,batches,valid_cosine_batches,conflict_fraction,cosine_p25,cosine_median,cosine_p75,loc_norm_median,cls_norm_median,ratio_p25,ratio_median,ratio_p75,all_finite
42,best,D00,32,32,0.34375,-0.09093761071562767,0.09587350860238075,0.23748734965920448,0.030835209414362907,0.022765508852899075,0.5400345647501696,0.7345886084301138,1.1349227809478895,1
42,best,D10,31,31,0.41935483870967744,-0.10903388261795044,0.04645148664712906,0.24705542623996735,0.0387246198952198,0.021316060796380043,0.3782697042535325,0.5141831666090529,0.8896950483082663,1
42,best,D20,32,32,0.53125,-0.24147848412394524,-0.028603809885680676,0.12925484217703342,0.012551999650895596,0.01191383833065629,0.6711916927083427,0.9227043556777804,1.5242014997664057,1
42,best,D40,27,24,0.625,-0.3343256786465645,-0.010420842561870813,0.11970639787614346,0.03550541028380394,0.019097188487648964,0.3821998234581384,0.4890443022405368,0.8886993815444774,1
42,best,all,32,32,0.53125,-0.15571658685803413,-0.005610609892755747,0.1454293616116047,0.013866341207176447,0.009753402788192034,0.5219119648047039,0.7432128401649535,1.0361589924858217,1
42,epoch20,D00,32,32,0.625,-0.22524380683898926,-0.08107973635196686,0.16408492252230644,0.01789682451635599,0.01544165750965476,0.6617613427824715,0.9948675653114334,1.278722802684027,1
42,epoch20,D10,31,30,0.3,-0.046750125009566545,0.10837297886610031,0.35078880190849304,0.01809006556868553,0.011095411144196987,0.3715051063323985,0.5717296835965819,0.7812800182145295,1
42,epoch20,D20,32,32,0.53125,-0.1660737358033657,-0.010146322660148144,0.07823413610458374,0.00816170172765851,0.008012141101062298,0.735249384651522,0.904810730335402,1.3292392024968471,1
42,epoch20,D40,27,22,0.3181818181818182,-0.03862665221095085,0.1383144147694111,0.312897689640522,0.011518223211169243,0.008430074900388718,0.4496610434784628,0.5737195190792295,0.8996162437348731,1
42,epoch20,all,32,32,0.375,-0.1626211553812027,0.05855650082230568,0.1875547580420971,0.007888386491686106,0.006081712199375033,0.6537881971445266,0.7552710280563988,1.006685240629918,1
42,epoch5,D00,32,32,0.59375,-0.24176646023988724,-0.11203770712018013,0.05947869084775448,0.017334465868771076,0.016260354779660702,0.6409187460295493,0.7973058625684301,1.4208358184133525,1
