seed,scope,batches,valid_cosine_batches,conflict_fraction,cosine_p25,cosine_median,cosine_p75,loc_norm_median,cls_norm_median,ratio_p25,ratio_median,ratio_p75,all_finite
42,D00,128,128,0.53125,-0.21395893767476082,-0.023448674008250237,0.1514699123799801,0.02469557151198387,0.021455487236380577,0.5986788592212214,0.8203961356018711,1.3145480716750275,1
42,D10,124,122,0.4098360655737705,-0.1461479216814041,0.07939438149333,0.3058634549379349,0.027348892763257027,0.01568182185292244,0.4013705432690702,0.6009781258876207,0.8627654326172121,1
42,D20,128,128,0.53125,-0.1674751117825508,-0.018636010587215424,0.13615864515304565,0.008837854024022818,0.008411139249801636,0.6918587395797942,0.9016423349798597,1.414473907706225,1
42,D40,108,81,0.5061728395061729,-0.19737382233142853,-0.0002583606983534992,0.21280790865421295,0.019463764503598213,0.010209058877080679,0.3885774905174247,0.5540541653685487,0.8474828524129754,1
42,all,128,128,0.546875,-0.22360697016119957,-0.015831041615456343,0.12088445201516151,0.009762540459632874,0.00779546145349741,0.599377309499947,0.7595288513954072,1.0198180906470007,1
43,D00,128,128,0.4921875,-0.11917869374155998,0.004654255171772093,0.12438228353857994,0.018449680879712105,0.01753654144704342,0.7145177108923484,0.9677129968544346,1.5812941378282817,1
43,D10,124,123,0.5040650406504065,-0.22886157780885696,-0.001602562959305942,0.20613688975572586,0.020526076667010784,0.01625464204698801,0.4292775896085229,0.7077319482768663,1.1740643059395508,1
43,D20,128,128,0.4375,-0.1128187533468008,0.048216624185442924,0.26070425659418106,0.007156997919082642,0.007303251884877682,0.8345323391016755,1.0475144813097885,1.5529810609268764,1
43,D40,108,77,0.6103896103896104,-0.15740588307380676,-0.03309718146920204,0.09482265263795853,0.008730380330234766,0.00865037553012371,0.5188816801481944,0.6914083696360456,0.9291708331605125,1
43,all,128,128,0.4375,-0.09031616523861885,0.038880135864019394,0.1936517469584942,0.008225183468312025,0.006827836157754064,0.6998482661675687,0.8993768030269501,1.1512555328889127,1
